,Time,Joint,X,Y,Z
0,0,Left Hand,-0.03613591194152832,-0.1766347885131836,1.4862114191055298
1,0,Left Hand,0.1301335096359253,-0.17478561401367188,1.4820839166641235
2,0,Left Hand,0.4056280851364136,-0.18188953399658203,1.4169775247573853
3,0,Left Hand,0.6315257549285889,-0.284970760345459,1.4186512231826782
4,0,Right Hand,-0.03613591194152832,-0.1766347885131836,1.4862114191055298
5,0,Right Hand,-0.1998002529144287,-0.1589803695678711,1.462372899055481
6,0,Right Hand,-0.46558475494384766,-0.14324665069580078,1.3659535646438599
7,0,Right Hand,-0.7001190185546875,-0.22394847869873047,1.3540693521499634
8,0,Left Leg,-0.0355067253112793,-0.20142126083374023,0.9825326204299927
9,0,Left Leg,0.10150146484375,-0.2152085304260254,0.9709731340408325
10,0,Left Leg,0.10244059562683105,-0.19449853897094727,0.5094982385635376
11,0,Left Leg,0.08776998519897461,-0.06314563751220703,0.06866133213043213
12,0,Right Leg,-0.0355067253112793,-0.20142126083374023,0.9825326204299927
13,0,Right Leg,-0.1725153923034668,-0.18763494491577148,0.9940916299819946
14,0,Right Leg,-0.1604599952697754,-0.18955755233764648,0.5323125123977661
15,0,Right Leg,-0.11898374557495117,-0.056345462799072266,0.09374678134918213
16,0,Body,-0.0355067253112793,-0.20142126083374023,0.9825326204299927
17,0,Body,-0.03531193733215332,-0.1858839988708496,1.2364364862442017
18,0,Body,-0.03613591194152832,-0.1766347885131836,1.4862114191055298
19,0,Body,-0.05284738540649414,-0.2581601142883301,1.5597926378250122
20,0,Body,-0.0557098388671875,-0.23713207244873047,1.6728159189224243
21,1,Left Hand,-0.03627920150756836,-0.17672204971313477,1.4862371683120728
22,1,Left Hand,0.1299891471862793,-0.17490243911743164,1.482077717781067
23,1,Left Hand,0.40546655654907227,-0.1820354461669922,1.4169031381607056
24,1,Left Hand,0.6313588619232178,-0.28513097763061523,1.4184805154800415
25,1,Right Hand,-0.03627920150756836,-0.17672204971313477,1.4862371683120728
26,1,Right Hand,-0.19994235038757324,-0.15909910202026367,1.4623667001724243
27,1,Right Hand,-0.46569204330444336,-0.14336776733398438,1.3658496141433716
28,1,Right Hand,-0.7002074718475342,-0.2241201400756836,1.35395348072052
29,1,Left Leg,-0.0355219841003418,-0.20141887664794922,0.9825531244277954
30,1,Left Leg,0.10148072242736816,-0.2152576446533203,0.9709850549697876
31,1,Left Leg,0.10241758823394775,-0.19442033767700195,0.5095154047012329
32,1,Left Leg,0.08777666091918945,-0.0631399154663086,0.0686560869216919
33,1,Right Leg,-0.0355219841003418,-0.20141887664794922,0.9825531244277954
34,1,Right Leg,-0.17252373695373535,-0.18758010864257812,0.9941226243972778
35,1,Right Leg,-0.1604902744293213,-0.1893939971923828,0.5323415994644165
36,1,Right Leg,-0.1189734935760498,-0.05635690689086914,0.0937272310256958
37,1,Body,-0.0355219841003418,-0.20141887664794922,0.9825531244277954
38,1,Body,-0.03543567657470703,-0.18594694137573242,1.23646080493927
39,1,Body,-0.03627920150756836,-0.17672204971313477,1.4862371683120728
40,1,Body,-0.0529329776763916,-0.258267879486084,1.559808373451233
41,1,Body,-0.05578494071960449,-0.23726940155029297,1.6728373765945435
42,2,Left Hand,-0.0364384651184082,-0.17681074142456055,1.4862786531448364
43,2,Left Hand,0.1298290491104126,-0.1749873161315918,1.4820719957351685
44,2,Left Hand,0.40526652336120605,-0.18217802047729492,1.416732907295227
45,2,Left Hand,0.631119966506958,-0.28536033630371094,1.4182063341140747
46,2,Right Hand,-0.0364384651184082,-0.17681074142456055,1.4862786531448364
47,2,Right Hand,-0.2000877857208252,-0.15928077697753906,1.4622465372085571
48,2,Right Hand,-0.4657907485961914,-0.14365577697753906,1.365585446357727
49,2,Right Hand,-0.7003204822540283,-0.22437381744384766,1.3537098169326782
50,2,Left Leg,-0.03552865982055664,-0.20140361785888672,0.9825884103775024
51,2,Left Leg,0.10147476196289062,-0.21522855758666992,0.9710136651992798
52,2,Left Leg,0.10240483283996582,-0.19441556930541992,0.5095444917678833
53,2,Left Leg,0.0877985954284668,-0.06313896179199219,0.06868183612823486
